g111	g112	g113	g121	g122	g123	g131	g132	g133	g14	g15	g211	g212	g213	g214	g215	g216	g217	g218	g219	g2110	g22	g23	g24	g25	g26	g3
3 4	2 3	0 0	5 8	3 4	2 3	4 6	0 0	6 9	0 1	0 0	10 15	19 19	26 26	67 67	2 2	47 47	5781 5781	7 7	5 5	1 1	0 1	1 2	3 4	2 3	1 2	110395 165592	
0 1	2 3	2 3	5 8	8 12	7 10	3 4	1 2	0 1	3 4	0 0	10 15	29 29	59 59	142 142	6 6	42 42	12508 12508	17 17	2 2	4 4	2 3	2 3	3 4	1 2	1 2	116337 174506	
2 3	2 3	0 0	0 1	3 4	8 12	0 0	3 4	1 2	3 4	0 0	11 16	31 31	57 57	129 129	7 7	6 6	12157 12157	12 12	4 4	2 2	3 4	1 2	4 6	2 3	1 2	103089 154634	
1 2	2 3	1 2	8 12	3 4	6 9	1 2	2 3	4 6	0 1	0 0	0 1	14 14	18 18	40 40	3 3	13 13	5227 5227	17 17	5 5	5 5	0 1	3 4	1 2	1 2	0 1	80000 120000	
2 3	0 1	0 0	3 4	6 9	1 2	3 4	0 0	4 6	1 2	0 0	5 8	2 2	16 16	10 10	0 0	13 13	1463 1463	19 19	2 2	5 5	4 6	1 2	2 3	4 6	0 1	80000 120000	
2 3	2 3	0 0	4 7	4 7	4 6	3 4	3 4	4 6	4 6	0 0	2 3	21 21	54 54	81 81	4 4	5 5	9671 9671	19 19	5 5	1 1	0 1	4 6	1 2	2 3	0 1	80000 120000	
2 3	1 2	1 2	8 12	4 6	4 7	4 6	3 4	4 7	3 4	1 1	21 32	7 7	16 16	30 30	1 1	1 1	1656 1656	13 13	2 2	5 5	1 2	0 1	2 3	2 3	4 6	320000 480000	
0 1	3 4	2 3	0 1	4 6	8 12	4 6	1 2	3 4	4 6	0 0	10 15	11 11	30 30	62 62	2 2	29 29	5453 5453	0 0	2 2	4 4	3 4	2 3	3 4	0 1	1 2	109485 164228	
0 0	2 3	2 3	7 10	7 10	1 2	0 0	0 1	2 3	2 3	1 1	22 33	47 47	91 91	189 189	10 10	38 38	18616 18616	20 20	2 2	2 2	4 6	1 2	3 4	0 1	4 6	292139 438208	
0 0	0 0	3 4	1 2	4 6	7 10	4 6	3 4	5 8	3 4	1 1	16 25	12 12	31 31	76 76	3 3	10 10	6124 6124	10 10	5 5	4 4	1 2	0 1	2 3	0 1	2 3	184954 277431	
1 2	0 1	0 1	6 9	3 4	5 8	3 4	2 3	1 2	3 4	0 0	8 13	25 25	46 46	104 104	5 5	13 13	9286 9286	8 8	2 2	2 2	3 4	4 6	0 1	0 1	1 2	111954 167931	
2 3	0 1	0 0	3 4	4 6	6 9	4 6	3 4	1 2	1 2	0 0	6 9	2 2	2 2	23 23	0 0	10 10	659 659	12 12	5 5	2 2	3 4	3 4	1 2	0 1	0 1	80000 120000	
2 3	0 1	3 4	2 3	1 2	8 12	2 3	0 1	1 2	3 4	0 0	8 12	26 26	43 43	82 82	5 5	25 25	8822 8822	16 16	2 2	4 4	3 4	1 2	3 4	0 1	1 2	110286 165429	
0 0	2 3	0 0	7 10	4 7	5 8	3 4	3 4	3 4	2 3	1 1	24 36	30 30	72 72	134 134	6 6	46 46	13607 13607	3 3	5 5	4 4	3 4	3 4	3 4	1 2	4 6	314690 472035	
2 3	1 2	0 0	1 2	3 4	4 7	4 6	1 2	2 3	2 3	1 1	24 36	38 38	73 73	148 148	6 6	32 32	14124 14124	3 3	3 3	4 4	4 6	3 4	4 6	1 2	4 6	294415 441622	
1 2	0 1	0 0	3 4	3 4	3 4	2 3	0 1	4 7	0 1	0 0	5 8	22 22	43 43	98 98	4 4	7 7	8625 8625	9 9	1 1	3 3	3 4	0 1	0 1	3 4	0 1	80000 120000	
3 4	2 3	0 1	2 3	8 12	6 9	0 1	0 1	0 1	4 6	0 0	8 12	38 38	66 66	127 127	6 6	18 18	13388 13388	10 10	1 1	4 4	0 1	1 2	0 1	0 1	1 2	135723 203584	
1 2	1 2	0 0	8 12	7 10	3 4	1 2	0 1	0 1	1 2	0 0	3 4	19 19	34 34	69 69	4 4	42 42	6771 6771	14 14	4 4	2 2	1 2	1 2	1 2	2 3	0 1	80000 120000	
0 0	2 3	0 0	8 12	7 10	4 7	0 1	2 3	4 7	3 4	0 0	8 13	23 23	49 49	124 124	6 6	29 29	10622 10622	8 8	2 2	3 3	1 2	1 2	0 1	1 2	1 2	138065 207098	
3 4	3 4	1 2	2 3	4 7	6 9	3 4	0 0	5 8	0 1	0 0	6 9	47 47	82 82	159 159	8 8	10 10	17885 17885	0 0	4 4	5 5	1 2	3 4	4 6	2 3	1 2	149649 224474	
0 1	3 4	1 2	1 2	5 8	5 8	2 3	0 0	1 2	2 3	0 0	8 12	44 44	90 90	163 163	8 8	1 1	17543 17543	8 8	2 2	4 4	2 3	4 6	4 6	0 1	0 1	80000 120000	
0 0	1 2	0 0	1 2	6 9	6 9	3 4	1 2	5 8	2 3	0 0	6 9	21 21	41 41	70 70	3 3	43 43	8723 8723	18 18	3 3	1 1	3 4	0 1	1 2	1 2	1 2	142472 213709	
0 0	0 1	2 3	0 1	6 9	0 1	0 1	0 0	6 9	3 4	1 1	16 25	3 3	12 12	36 36	1 1	13 13	1890 1890	0 0	4 4	1 1	2 3	3 4	4 6	0 1	2 3	216299 324448	
1 2	0 0	0 0	3 4	3 4	5 8	0 0	0 0	4 7	4 6	0 0	6 9	35 35	80 80	141 141	7 7	22 22	15124 15124	0 0	5 5	1 1	3 4	1 2	2 3	1 2	0 1	80000 120000	
3 4	2 3	0 1	1 2	7 10	1 2	0 0	0 1	4 7	0 1	0 0	6 9	13 13	25 25	73 73	2 2	9 9	5743 5743	0 0	4 4	1 1	3 4	2 3	4 6	1 2	0 1	80000 120000	
1 2	2 3	3 4	7 10	7 10	4 7	0 1	3 4	3 4	3 4	1 1	20 31	14 14	28 28	32 32	3 3	42 42	4331 4331	17 17	1 1	4 4	0 1	0 1	3 4	2 3	3 4	235619 353428	
0 0	2 3	3 4	1 2	3 4	5 8	4 6	1 2	0 1	1 2	1 1	16 25	35 35	72 72	161 161	8 8	3 3	15083 15083	3 3	4 4	2 2	2 3	0 1	2 3	0 1	3 4	279524 419286	
0 0	0 1	0 0	6 9	6 9	8 12	2 3	0 1	4 7	4 6	0 0	1 2	18 18	33 33	66 66	5 5	49 49	7232 7232	15 15	3 3	5 5	2 3	2 3	2 3	0 1	0 1	80000 120000	
0 1	0 0	1 2	5 8	4 7	8 12	3 4	0 0	5 8	1 2	0 0	8 13	18 18	48 48	76 76	5 5	44 44	8545 8545	8 8	4 4	5 5	0 1	2 3	4 6	2 3	1 2	133493 200240	
0 0	0 1	1 2	8 12	6 9	3 4	0 1	0 0	3 4	3 4	1 1	17 26	20 20	37 37	80 80	3 3	17 17	6360 6360	17 17	4 4	4 4	3 4	3 4	0 1	3 4	2 3	209796 314694	
0 1	2 3	3 4	4 7	6 9	5 8	3 4	3 4	2 3	2 3	1 1	24 36	49 49	100 100	200 200	9 9	19 19	19862 19862	7 7	4 4	2 2	1 2	1 2	3 4	4 6	4 6	302180 453270	
0 1	1 2	0 0	4 7	3 4	1 2	3 4	0 0	4 7	4 6	1 1	16 24	10 10	13 13	43 43	2 2	39 39	4600 4600	15 15	3 3	4 4	0 1	4 6	3 4	0 1	2 3	163500 245251	
0 1	0 0	3 4	3 4	6 9	3 4	2 3	1 2	2 3	4 6	0 0	2 3	26 26	62 62	120 120	5 5	3 3	11588 11588	19 19	1 1	5 5	4 6	4 6	2 3	1 2	0 1	80000 120000	
0 0	0 1	2 3	5 8	4 7	1 2	0 1	3 4	4 6	0 1	0 0	4 7	41 41	97 97	193 193	9 9	37 37	18297 18297	9 9	5 5	5 5	0 1	3 4	3 4	3 4	0 1	80000 120000	
0 0	0 0	1 2	5 8	4 7	4 6	2 3	0 0	4 6	0 1	0 0	5 8	22 22	37 37	92 92	4 4	31 31	8467 8467	3 3	5 5	4 4	3 4	4 6	3 4	2 3	1 2	132749 199124	
0 1	1 2	2 3	6 9	7 10	6 9	0 0	0 0	3 4	4 6	1 1	12 18	46 46	100 100	200 200	10 10	5 5	19503 19503	8 8	5 5	4 4	1 2	1 2	2 3	1 2	2 3	213789 320684	
0 0	1 2	0 0	7 10	3 4	4 6	0 0	0 0	1 2	1 2	0 0	2 3	46 46	100 100	200 200	9 9	22 22	19771 19771	12 12	5 5	5 5	2 3	0 1	3 4	3 4	0 1	80000 120000	
3 4	0 1	1 2	7 10	7 10	2 3	2 3	0 1	4 6	3 4	0 0	9 14	32 32	63 63	99 99	6 6	43 43	10975 10975	3 3	4 4	2 2	3 4	0 1	4 6	1 2	1 2	116196 174294	
3 4	1 2	0 1	6 9	5 8	0 1	0 1	0 1	5 8	0 1	0 0	4 6	16 16	39 39	69 69	3 3	31 31	7170 7170	13 13	4 4	1 1	2 3	2 3	4 6	2 3	0 1	87584 131377	
3 4	0 0	2 3	6 9	4 7	3 4	4 6	0 1	5 8	2 3	1 1	20 31	21 21	51 51	96 96	5 5	42 42	9523 9523	15 15	5 5	5 5	0 1	3 4	4 6	4 6	3 4	246184 369276	
0 0	2 3	0 1	6 9	7 10	8 12	0 1	0 0	6 9	1 2	0 0	2 3	33 33	76 76	166 166	8 8	4 4	15271 15271	16 16	1 1	1 1	3 4	0 1	0 1	1 2	0 1	80000 120000	
0 0	2 3	2 3	4 6	7 10	1 2	4 6	0 0	4 7	2 3	0 0	0 1	49 49	89 89	181 181	9 9	15 15	19606 19606	10 10	5 5	3 3	2 3	0 1	1 2	3 4	0 1	93495 140242	
1 2	0 1	1 2	2 3	7 10	6 9	0 0	1 2	5 8	3 4	0 0	5 8	29 29	68 68	138 138	6 6	14 14	13579 13579	3 3	2 2	5 5	1 2	3 4	2 3	3 4	0 1	80000 120000	
0 0	1 2	0 0	6 9	3 4	4 7	2 3	1 2	1 2	3 4	1 1	12 18	39 39	76 76	165 165	7 7	3 3	15813 15813	10 10	5 5	4 4	4 6	1 2	2 3	1 2	2 3	219338 329007	
3 4	3 4	0 0	7 10	7 10	4 6	2 3	0 0	5 8	2 3	0 0	8 13	0 0	3 3	17 17	0 0	23 23	765 765	9 9	3 3	5 5	2 3	0 1	3 4	4 6	1 2	107812 161719	
3 4	0 1	0 1	7 10	1 2	0 1	4 6	0 1	3 4	2 3	0 0	10 15	26 26	49 49	96 96	6 6	21 21	11635 11635	10 10	2 2	4 4	0 1	1 2	0 1	0 1	1 2	115052 172578	
0 0	0 0	2 3	0 1	7 10	4 6	1 2	3 4	3 4	0 1	1 1	17 26	49 49	100 100	193 193	10 10	31 31	18836 18836	15 15	4 4	1 1	0 1	4 6	2 3	4 6	3 4	282819 424228	
2 3	1 2	2 3	0 1	1 2	1 2	1 2	0 0	4 6	3 4	0 0	9 14	16 16	27 27	60 60	4 4	4 4	6002 6002	2 2	3 3	1 1	2 3	2 3	2 3	3 4	1 2	129781 194672	
3 4	0 0	2 3	7 10	4 6	5 8	3 4	0 0	4 6	1 2	0 0	11 16	46 46	100 100	179 179	10 10	29 29	19615 19615	8 8	5 5	2 2	0 1	4 6	4 6	0 1	1 2	146408 219612	
0 1	0 1	1 2	3 4	4 6	3 4	0 1	1 2	1 2	2 3	0 0	2 3	30 30	56 56	140 140	7 7	46 46	12251 12251	2 2	4 4	3 3	1 2	2 3	1 2	2 3	0 1	93797 140696	
3 4	0 0	2 3	6 9	5 8	7 10	0 0	2 3	4 6	4 6	1 1	24 36	23 23	48 48	90 90	6 6	25 25	10422 10422	0 0	4 4	3 3	2 3	2 3	2 3	1 2	4 6	320000 480000	
3 4	0 0	1 2	1 2	3 4	4 6	4 6	1 2	5 8	3 4	0 0	12 19	47 47	80 80	170 170	8 8	28 28	17112 17112	0 0	5 5	4 4	4 6	2 3	2 3	3 4	1 2	111203 166804	
3 4	2 3	1 2	5 8	5 8	4 7	4 6	1 2	2 3	3 4	0 0	3 4	28 28	60 60	115 115	6 6	21 21	10553 10553	14 14	2 2	5 5	0 1	0 1	2 3	4 6	0 1	80000 120000	
0 0	0 0	0 1	2 3	4 7	3 4	3 4	3 4	4 7	0 1	0 0	8 12	10 10	26 26	54 54	3 3	44 44	5192 5192	12 12	3 3	5 5	0 1	3 4	3 4	3 4	0 1	84722 127083	
0 0	0 1	0 0	1 2	7 10	7 10	1 2	0 1	0 1	3 4	0 0	0 1	28 28	55 55	77 77	4 4	12 12	9565 9565	19 19	3 3	3 3	3 4	4 6	3 4	0 1	0 1	80000 120000	
2 3	3 4	1 2	7 10	5 8	1 2	0 0	3 4	1 2	2 3	1 1	16 25	50 50	100 100	200 200	10 10	7 7	19884 19884	9 9	4 4	5 5	4 6	0 1	0 1	0 1	3 4	252981 379472	
0 0	1 2	1 2	4 6	2 3	0 1	1 2	1 2	5 8	2 3	0 0	7 10	0 0	2 2	14 14	0 0	48 48	328 328	4 4	3 3	5 5	0 1	1 2	3 4	1 2	0 1	80000 120000	
0 0	1 2	0 1	0 1	5 8	8 12	3 4	2 3	2 3	3 4	0 0	9 14	18 18	29 29	62 62	3 3	6 6	7427 7427	19 19	2 2	4 4	0 1	4 6	1 2	0 1	1 2	130812 196219	
1 2	1 2	1 2	5 8	5 8	7 10	3 4	2 3	1 2	1 2	1 1	12 18	50 50	98 98	183 183	9 9	35 35	19754 19754	11 11	5 5	4 4	3 4	2 3	3 4	1 2	2 3	215696 323544	
0 1	2 3	1 2	5 8	5 8	8 12	4 6	2 3	4 7	4 6	1 1	16 24	38 38	88 88	175 175	8 8	40 40	15691 15691	5 5	5 5	1 1	2 3	4 6	3 4	1 2	2 3	205318 307977	
3 4	2 3	3 4	0 1	4 6	5 8	0 1	2 3	4 6	3 4	0 0	9 14	45 45	87 87	182 182	10 10	28 28	18766 18766	17 17	5 5	2 2	1 2	3 4	3 4	2 3	1 2	105907 158860	
3 4	0 1	0 1	8 12	1 2	1 2	3 4	2 3	4 7	0 1	0 0	6 9	18 18	45 45	80 80	5 5	8 8	7492 7492	11 11	5 5	5 5	2 3	4 6	1 2	3 4	1 2	110558 165837	
1 2	3 4	0 1	4 6	7 10	4 6	4 6	1 2	4 6	3 4	0 0	0 1	8 8	31 31	38 38	2 2	13 13	5147 5147	18 18	3 3	2 2	1 2	2 3	3 4	3 4	0 1	80000 120000	
3 4	2 3	0 1	3 4	7 10	4 7	4 6	3 4	6 9	4 6	1 1	18 27	32 32	69 69	121 121	7 7	9 9	13773 13773	9 9	4 4	3 3	1 2	1 2	1 2	3 4	3 4	247312 370969	
0 0	0 0	1 2	3 4	8 12	1 2	3 4	0 0	5 8	2 3	1 1	21 32	37 37	76 76	151 151	8 8	6 6	16742 16742	9 9	5 5	2 2	0 1	1 2	2 3	3 4	3 4	235284 352927	
1 2	3 4	3 4	2 3	4 7	8 12	0 0	0 0	5 8	1 2	0 0	3 4	39 39	84 84	151 151	9 9	50 50	16310 16310	14 14	4 4	4 4	0 1	0 1	0 1	2 3	0 1	80000 120000	
2 3	0 0	3 4	2 3	3 4	2 3	1 2	1 2	6 9	1 2	0 0	8 13	43 43	82 82	182 182	9 9	24 24	16860 16860	12 12	5 5	4 4	3 4	3 4	3 4	3 4	0 1	91132 136698	
3 4	2 3	0 1	7 10	4 6	6 9	0 0	0 0	0 1	1 2	1 1	24 36	28 28	54 54	134 134	6 6	11 11	12504 12504	10 10	3 3	1 1	1 2	0 1	1 2	0 1	4 6	288800 433201	
3 4	0 0	0 1	4 7	4 6	3 4	1 2	2 3	2 3	1 2	0 0	10 15	49 49	96 96	200 200	10 10	21 21	18985 18985	9 9	4 4	5 5	4 6	3 4	2 3	0 1	1 2	98472 147708	
0 0	0 1	0 1	6 9	4 7	4 7	1 2	0 0	4 7	1 2	0 0	2 3	5 5	19 19	10 10	2 2	28 28	2063 2063	0 0	4 4	4 4	1 2	3 4	0 1	0 1	0 1	80000 120000	
0 0	0 0	3 4	7 10	8 12	4 6	2 3	1 2	4 6	1 2	1 1	17 26	44 44	90 90	173 173	9 9	25 25	17129 17129	13 13	2 2	3 3	0 1	0 1	4 6	1 2	2 3	179652 269479	
0 0	1 2	0 0	7 10	4 7	5 8	4 6	0 1	4 7	1 2	0 0	8 12	2 2	11 11	20 20	2 2	49 49	2431 2431	3 3	5 5	3 3	2 3	3 4	1 2	1 2	1 2	126233 189350	
1 2	0 0	1 2	7 10	8 12	4 6	4 6	0 1	1 2	1 2	1 1	16 25	30 30	56 56	116 116	6 6	10 10	11147 11147	11 11	3 3	5 5	3 4	0 1	2 3	4 6	3 4	258866 388299	
0 0	0 0	3 4	5 8	1 2	5 8	0 0	0 0	2 3	4 6	1 1	12 19	1 1	3 3	13 13	1 1	16 16	1018 1018	7 7	1 1	3 3	1 2	1 2	3 4	2 3	2 3	166904 250357	
2 3	2 3	0 1	4 6	1 2	3 4	4 6	0 0	3 4	3 4	1 1	19 28	1 1	14 14	20 20	1 1	38 38	1865 1865	12 12	5 5	4 4	3 4	3 4	0 1	2 3	3 4	236868 355302	
0 1	0 0	1 2	5 8	8 12	8 12	2 3	0 0	3 4	3 4	0 0	3 4	48 48	83 83	156 156	9 9	35 35	17568 17568	18 18	5 5	5 5	1 2	4 6	4 6	3 4	0 1	80150 120225	
2 3	0 0	2 3	0 1	5 8	6 9	0 1	3 4	2 3	3 4	1 1	20 31	50 50	93 93	200 200	9 9	19 19	18857 18857	18 18	2 2	2 2	0 1	0 1	1 2	1 2	4 6	320000 480000	
2 3	0 0	0 0	6 9	4 6	5 8	3 4	0 1	2 3	4 6	1 1	12 18	15 15	41 41	84 84	2 2	17 17	6707 6707	0 0	4 4	1 1	4 6	1 2	4 6	1 2	2 3	188301 282452	
1 2	2 3	1 2	1 2	6 9	0 1	3 4	0 0	4 7	2 3	0 0	5 8	32 32	51 51	111 111	5 5	20 20	11191 11191	17 17	2 2	2 2	2 3	2 3	0 1	2 3	1 2	146766 220149	
3 4	2 3	2 3	2 3	4 6	1 2	4 6	3 4	1 2	0 1	0 0	5 8	31 31	61 61	113 113	6 6	44 44	11198 11198	1 1	1 1	2 2	0 1	4 6	4 6	0 1	0 1	90552 135828	
0 1	0 1	2 3	6 9	4 6	5 8	0 0	0 0	3 4	2 3	0 0	4 6	46 46	87 87	170 170	9 9	7 7	17433 17433	15 15	3 3	1 1	1 2	1 2	4 6	1 2	0 1	80000 120000	
3 4	2 3	3 4	4 6	6 9	6 9	1 2	1 2	3 4	1 2	1 1	17 26	45 45	91 91	181 181	10 10	21 21	18210 18210	2 2	4 4	2 2	2 3	4 6	4 6	1 2	3 4	234947 352420	
1 2	0 1	1 2	2 3	4 7	0 1	4 6	2 3	2 3	1 2	1 1	20 31	29 29	46 46	107 107	5 5	10 10	11083 11083	0 0	4 4	3 3	0 1	2 3	0 1	0 1	3 4	226739 340108	
3 4	3 4	0 1	7 10	3 4	6 9	2 3	0 1	5 8	3 4	1 1	18 27	27 27	55 55	83 83	5 5	45 45	10262 10262	19 19	5 5	1 1	1 2	1 2	4 6	1 2	3 4	260860 391291	
0 1	0 0	0 1	4 7	2 3	1 2	2 3	2 3	2 3	1 2	0 0	6 9	2 2	19 19	33 33	0 0	20 20	2371 2371	9 9	2 2	5 5	2 3	0 1	2 3	3 4	0 1	80000 120000	
2 3	3 4	1 2	5 8	4 6	6 9	1 2	0 0	0 1	4 6	0 0	8 12	14 14	42 42	55 55	2 2	5 5	6377 6377	13 13	1 1	1 1	4 6	2 3	2 3	4 6	0 1	80000 120000	
2 3	0 0	0 0	4 7	1 2	0 1	4 6	1 2	1 2	3 4	1 1	18 27	17 17	40 40	69 69	3 3	8 8	7589 7589	19 19	1 1	5 5	2 3	1 2	3 4	0 1	2 3	197238 295857	
0 1	3 4	2 3	3 4	7 10	1 2	0 1	0 0	5 8	2 3	0 0	2 3	22 22	58 58	100 100	4 4	14 14	9627 9627	4 4	2 2	5 5	4 6	2 3	0 1	0 1	0 1	80000 120000	
0 1	0 1	1 2	2 3	4 6	2 3	4 6	0 1	5 8	0 1	1 1	20 31	50 50	86 86	165 165	8 8	14 14	18105 18105	15 15	2 2	4 4	0 1	3 4	0 1	3 4	4 6	320000 480000	
1 2	0 1	2 3	1 2	5 8	0 1	4 6	2 3	2 3	4 6	0 0	12 19	29 29	39 39	87 87	5 5	14 14	9703 9703	8 8	2 2	4 4	2 3	0 1	4 6	0 1	1 2	99220 148830	
0 1	2 3	2 3	3 4	2 3	2 3	0 0	2 3	0 1	1 2	0 0	4 6	24 24	36 36	103 103	5 5	29 29	9118 9118	17 17	1 1	2 2	4 6	2 3	3 4	0 1	0 1	80000 120000	
2 3	2 3	3 4	0 1	7 10	0 1	0 1	3 4	2 3	2 3	0 0	4 7	42 42	76 76	171 171	7 7	47 47	15743 15743	0 0	5 5	4 4	1 2	4 6	4 6	4 6	0 1	90844 136266	
0 1	1 2	1 2	4 6	6 9	4 7	2 3	3 4	0 1	4 6	0 0	4 7	38 38	62 62	123 123	7 7	44 44	14123 14123	7 7	4 4	2 2	0 1	0 1	0 1	2 3	0 1	89724 134587	
3 4	0 0	0 0	4 6	5 8	3 4	2 3	2 3	2 3	4 6	0 0	6 9	48 48	87 87	173 173	9 9	28 28	17645 17645	11 11	5 5	1 1	3 4	1 2	2 3	4 6	0 1	84508 126763	
2 3	3 4	2 3	4 7	5 8	2 3	1 2	0 1	2 3	3 4	1 1	12 18	26 26	65 65	110 110	6 6	43 43	11294 11294	0 0	1 1	2 2	4 6	0 1	2 3	0 1	2 3	215064 322597	
0 1	1 2	3 4	1 2	5 8	4 7	2 3	0 1	1 2	4 6	0 0	7 10	23 23	52 52	104 104	5 5	42 42	10845 10845	15 15	2 2	4 4	0 1	1 2	0 1	2 3	0 1	80000 120000	
3 4	1 2	0 1	8 12	7 10	1 2	0 0	3 4	4 7	1 2	0 0	6 9	46 46	94 94	200 200	10 10	40 40	19289 19289	1 1	5 5	1 1	4 6	2 3	0 1	0 1	0 1	90807 136210	
0 1	3 4	2 3	7 10	8 12	3 4	0 0	2 3	2 3	2 3	1 1	15 22	19 19	27 27	80 80	2 2	47 47	6586 6586	11 11	2 2	2 2	1 2	4 6	2 3	4 6	2 3	177782 266673	
3 4	1 2	0 1	8 12	8 12	5 8	1 2	0 1	3 4	4 6	1 1	22 33	8 8	14 14	50 50	2 2	15 15	3435 3435	11 11	1 1	4 4	0 1	4 6	4 6	3 4	4 6	304928 457393	
0 0	1 2	0 0	5 8	6 9	4 6	2 3	1 2	0 1	1 2	0 0	8 12	27 27	39 39	75 75	4 4	28 28	9442 9442	11 11	5 5	1 1	3 4	3 4	0 1	1 2	1 2	129571 194356	
0 1	0 1	1 2	4 6	8 12	6 9	0 0	0 0	5 8	1 2	0 0	3 4	13 13	36 36	80 80	2 2	13 13	6084 6084	13 13	4 4	4 4	1 2	0 1	1 2	4 6	0 1	80000 120000	
0 1	1 2	1 2	1 2	8 12	6 9	0 0	3 4	2 3	1 2	1 1	12 19	8 8	7 7	19 19	1 1	18 18	1971 1971	0 0	2 2	3 3	0 1	1 2	1 2	2 3	2 3	170902 256353	
1 2	2 3	1 2	0 1	3 4	5 8	1 2	3 4	1 2	0 1	1 1	16 25	12 12	27 27	43 43	1 1	5 5	3744 3744	5 5	1 1	2 2	3 4	0 1	1 2	4 6	2 3	211915 317872	
0 0	2 3	3 4	8 12	7 10	3 4	3 4	3 4	2 3	4 6	0 0	8 13	26 26	44 44	81 81	5 5	47 47	9051 9051	16 16	5 5	5 5	2 3	3 4	4 6	2 3	1 2	115704 173557	
1 2	3 4	0 1	4 6	1 2	1 2	4 6	3 4	5 8	1 2	1 1	17 26	15 15	33 33	64 64	2 2	21 21	5331 5331	11 11	3 3	1 1	2 3	0 1	3 4	4 6	3 4	224428 336642	
0 1	2 3	0 1	1 2	5 8	4 7	1 2	3 4	2 3	4 6	0 0	8 13	41 41	74 74	142 142	8 8	3 3	15381 15381	14 14	5 5	2 2	0 1	3 4	2 3	3 4	1 2	96478 144717	
2 3	2 3	1 2	6 9	2 3	3 4	0 1	1 2	5 8	0 1	0 0	9 14	9 9	29 29	48 48	3 3	49 49	5041 5041	12 12	2 2	1 1	2 3	1 2	1 2	1 2	1 2	137353 206030	
0 1	0 1	2 3	8 12	3 4	6 9	0 0	1 2	1 2	2 3	0 0	8 12	38 38	62 62	133 133	6 6	21 21	13238 13238	14 14	5 5	3 3	4 6	3 4	4 6	2 3	1 2	117064 175596	
0 0	0 0	1 2	8 12	4 7	6 9	0 1	0 0	2 3	0 1	0 0	8 13	11 11	36 36	45 45	3 3	7 7	6466 6466	17 17	5 5	2 2	2 3	2 3	0 1	0 1	1 2	149871 224806	
3 4	1 2	2 3	8 12	2 3	2 3	1 2	1 2	4 7	4 6	1 1	22 33	45 45	82 82	174 174	9 9	42 42	16362 16362	14 14	5 5	2 2	3 4	4 6	1 2	3 4	4 6	314619 471928	
2 3	3 4	0 1	0 1	2 3	3 4	0 1	2 3	2 3	4 6	1 1	11 16	9 9	20 20	21 21	1 1	8 8	3696 3696	12 12	5 5	3 3	4 6	1 2	1 2	4 6	2 3	217197 325796	
0 0	1 2	0 0	3 4	4 6	3 4	2 3	1 2	5 8	0 1	0 0	7 10	40 40	79 79	150 150	8 8	29 29	13891 13891	20 20	2 2	1 1	2 3	3 4	0 1	1 2	1 2	139961 209942	
0 1	0 0	3 4	2 3	3 4	4 7	2 3	2 3	5 8	0 1	0 0	3 4	21 21	33 33	68 68	3 3	18 18	6638 6638	0 0	2 2	1 1	3 4	1 2	2 3	1 2	0 1	80000 120000	
1 2	0 1	0 0	8 12	5 8	6 9	4 6	0 1	5 8	0 1	0 0	7 10	34 34	60 60	136 136	6 6	39 39	12084 12084	0 0	5 5	2 2	3 4	4 6	2 3	4 6	1 2	134380 201571	
2 3	2 3	2 3	4 7	6 9	0 1	0 0	0 1	5 8	4 6	1 1	15 22	22 22	48 48	70 70	5 5	4 4	8971 8971	17 17	1 1	3 3	2 3	0 1	2 3	2 3	2 3	187451 281176	
3 4	0 1	2 3	3 4	2 3	4 6	4 6	0 0	6 9	0 1	1 1	10 15	12 12	24 24	13 13	1 1	8 8	3337 3337	5 5	4 4	5 5	3 4	2 3	3 4	2 3	2 3	217032 325548	
1 2	1 2	0 0	4 7	3 4	7 10	0 0	1 2	2 3	2 3	0 0	6 9	7 7	7 7	14 14	1 1	20 20	1472 1472	3 3	5 5	2 2	2 3	3 4	2 3	3 4	0 1	80000 120000	
0 1	0 0	0 1	8 12	5 8	0 1	1 2	0 1	5 8	1 2	0 0	2 3	13 13	24 24	43 43	3 3	28 28	4899 4899	6 6	1 1	2 2	3 4	2 3	0 1	1 2	0 1	89968 134952	
0 1	0 1	0 1	4 6	6 9	1 2	3 4	1 2	0 1	3 4	1 1	21 32	42 42	83 83	161 161	9 9	27 27	16837 16837	0 0	5 5	2 2	3 4	4 6	4 6	1 2	4 6	320000 480000	
0 1	0 0	1 2	6 9	4 7	1 2	4 6	0 0	5 8	4 6	1 1	17 26	44 44	100 100	187 187	9 9	2 2	19538 19538	6 6	5 5	4 4	3 4	1 2	2 3	0 1	3 4	275773 413660	
0 0	1 2	1 2	1 2	8 12	4 7	0 0	0 0	2 3	1 2	0 0	5 8	22 22	29 29	69 69	4 4	47 47	7082 7082	16 16	2 2	2 2	1 2	0 1	1 2	1 2	0 1	80000 120000	
2 3	2 3	2 3	6 9	4 7	2 3	2 3	3 4	2 3	0 1	0 0	6 9	8 8	4 4	10 10	1 1	34 34	1952 1952	5 5	4 4	1 1	3 4	3 4	0 1	1 2	0 1	80000 120000	
3 4	1 2	3 4	2 3	4 7	0 1	0 1	0 1	2 3	3 4	1 1	17 26	6 6	14 14	30 30	0 0	4 4	2253 2253	2 2	4 4	4 4	1 2	3 4	4 6	4 6	3 4	230769 346154	
